City,YEAR,MONTH,Air Pollutant #1
SOUTHAMPTON,2024,12,13.0
SOUTHAMPTON,2025,1,15.0
SOUTHAMPTON,2025,2,21.0
SOUTHAMPTON,2025,3,16.5
SOUTHAMPTON,2025,4,22.0
SOUTHAMPTON,2025,5,12.5
SOUTHAMPTON,2025,6,11.5
SOUTHAMPTON,2025,7,10.5
SOUTHAMPTON,2025,8,13.5
SOUTHAMPTON,2025,9,11.0
SOUTHAMPTON,2025,10,12.5
SOUTHAMPTON,2025,11,11.5
SOUTHAMPTON,2025,12,13.0
STOKE-ON-TRENT,2024,1,15.0
STOKE-ON-TRENT,2024,2,19.0
STOKE-ON-TRENT,2024,3,21.0
STOKE-ON-TRENT,2024,4,16.0
STOKE-ON-TRENT,2024,5,20.0
STOKE-ON-TRENT,2024,6,16.0
STOKE-ON-TRENT,2024,7,16.0
STOKE-ON-TRENT,2024,8,12.0
STOKE-ON-TRENT,2024,9,12.0
STOKE-ON-TRENT,2024,10,15.0
Saltash Callington Road,2024,1,12.0
Saltash Callington Road,2024,2,14.0
Saltash Callington Road,2024,3,11.0
Saltash Callington Road,2024,4,10.0
Saltash Callington Road,2024,5,15.0
Saltash Callington Road,2024,6,15.0
Saltash Callington Road,2024,7,12.0
Saltash Callington Road,2024,8,8.0
Saltash Callington Road,2024,9,10.0
Sandy Roadside,2024,1,14.0
Sandy Roadside,2024,2,16.0
Sandy Roadside,2024,3,19.0
Sandy Roadside,2024,4,17.0
Sandy Roadside,2024,5,19.0
Sandy Roadside,2024,6,14.0
Sandy Roadside,2024,8,14.0
Sandy Roadside,2024,9,12.0
Sandy Roadside,2024,10,13.0
Sandy Roadside,2024,11,16.0
Sandy Roadside,2024,12,12.0
Sandy Roadside,2025,1,16.0
Sandy Roadside,2025,2,13.0
Scunthorpe Town,2024,1,14.0
Scunthorpe Town,2024,2,15.0
Scunthorpe Town,2024,3,22.0
Scunthorpe Town,2024,4,17.0
Scunthorpe Town,2024,5,19.0
Scunthorpe Town,2024,6,15.0
Scunthorpe Town,2024,7,16.0
Scunthorpe Town,2024,8,10.0
Scunthorpe Town,2024,9,10.0
Scunthorpe Town,2024,10,7.0
Southwark A2 Old Kent Road,2024,1,15.0
Southwark A2 Old Kent Road,2024,2,21.0
Southwark A2 Old Kent Road,2024,3,22.0
Southwark A2 Old Kent Road,2024,4,19.0
Southwark A2 Old Kent Road,2024,5,26.0
Southwark A2 Old Kent Road,2024,6,18.0
Southwark A2 Old Kent Road,2024,7,1.0
Southwark A2 Old Kent Road,2024,8,13.0
Southwark A2 Old Kent Road,2024,9,16.0
Southwark A2 Old Kent Road,2024,10,17.0
Southwark A2 Old Kent Road,2024,11,21.0
Southwark A2 Old Kent Road,2024,12,15.0
Southwark A2 Old Kent Road,2025,1,19.0
St Helens Linkway,2024,1,17.0
St Helens Linkway,2024,2,18.0
St Helens Linkway,2024,3,18.0
St Helens Linkway,2024,4,15.0
St Helens Linkway,2024,5,16.0
St Helens Linkway,2024,6,15.0
St Helens Linkway,2024,7,14.0
St Helens Linkway,2024,8,10.0
St Helens Linkway,2024,9,10.0
Stanford-le-Hope Roadside,2024,1,12.0
Stanford-le-Hope Roadside,2024,2,15.0
Stanford-le-Hope Roadside,2024,3,16.0
Stanford-le-Hope Roadside,2024,4,18.0
Stanford-le-Hope Roadside,2024,5,22.0
Stanford-le-Hope Roadside,2024,6,14.0
Stanford-le-Hope Roadside,2024,8,11.0
Stanford-le-Hope Roadside,2024,9,14.0
Stanford-le-Hope Roadside,2024,10,14.0
Stanford-le-Hope Roadside,2024,11,16.0
Stanford-le-Hope Roadside,2024,12,13.0
Stanford-le-Hope Roadside,2025,1,16.0
Stanford-le-Hope Roadside,2025,2,18.0
Thurrock,2024,1,13.0
Thurrock,2024,2,13.0
Thurrock,2024,3,18.0
Thurrock,2024,4,16.0
Thurrock,2024,5,19.0
Thurrock,2024,6,12.0
Thurrock,2024,7,15.0
Thurrock,2024,8,11.0
Thurrock,2024,9,13.0
Thurrock,2024,10,13.0
